userId,rating_count,rating_mean,last_activity
1,272,3.610294117647059,1998-03-13 01:15:36
2,62,3.7096774193548385,1998-03-04 02:57:20
3,54,2.7962962962962963,1998-03-07 02:24:42
4,24,4.333333333333333,1998-04-08 03:02:00
5,175,2.874285714285714,1997-11-10 21:54:58
6,211,3.6350710900473935,1998-01-02 05:01:44
7,403,3.965260545905707,1998-04-11 22:20:06
8,59,3.7966101694915255,1997-11-12 19:20:23
9,22,4.2727272727272725,1998-02-08 17:47:36
10,184,4.206521739130435,1997-11-24 11:35:12
11,181,3.4640883977900554,1998-04-06 23:48:30
12,51,4.392156862745098,1997-11-19 17:33:46
13,636,3.09748427672956,1998-04-18 03:36:29
14,98,4.091836734693878,1998-04-10 21:06:43
15,104,2.875,1997-11-13 21:28:27
16,140,4.328571428571428,1997-10-24 21:26:57
17,28,3.0357142857142856,1998-01-20 05:06:19
18,277,3.88086642599278,1997-11-21 17:15:01
19,20,3.55,1998-01-21 20:00:40
20,48,3.1041666666666665,1997-11-16 08:47:19
21,179,2.670391061452514,1997-09-22 18:11:56
22,128,3.3515625,1997-11-07 07:37:31
23,151,3.6357615894039736,1998-03-19 03:09:00
24,68,4.323529411764706,1997-09-27 01:31:55
25,78,4.051282051282051,1998-01-26 22:23:35
26,107,2.94392523364486,1998-03-31 23:19:29
27,25,3.24,1998-04-02 18:56:33
28,79,3.721518987341772,1997-12-22 21:36:33
29,34,3.6470588235294117,1997-12-22 20:19:49
30,43,3.7674418604651163,1998-01-27 23:00:02
31,36,3.9166666666666665,1997-12-08 02:28:31
32,41,3.317073170731707,1998-01-02 05:17:30
33,24,3.7083333333333335,1998-04-07 15:53:24
34,20,4.05,1998-02-27 18:12:03
35,25,3.0,1997-09-28 15:07:17
36,20,3.8,1997-12-15 03:46:21
37,57,3.6491228070175437,1997-11-30 22:47:52
38,121,3.71900826446281,1998-04-13 02:33:21
39,22,3.772727272727273,1998-04-01 03:18:24
40,35,2.8857142857142857,1998-03-04 20:06:21
41,52,3.769230769230769,1998-03-23 22:41:00
42,183,3.726775956284153,1997-12-03 00:59:23
43,221,3.7104072398190047,1998-04-12 03:04:57
44,151,3.6490066225165565,1998-01-01 00:09:32
45,48,3.6041666666666665,1997-12-01 22:40:56
46,27,4.111111111111111,1998-01-01 00:58:04
47,25,3.64,1997-11-13 17:00:29
48,66,3.787878787878788,1997-11-13 15:29:14
49,215,2.683720930232558,1998-02-21 14:01:00
50,24,3.5416666666666665,1997-10-17 01:49:18
51,23,3.5652173913043477,1997-12-30 16:22:17
52,56,4.267857142857143,1997-12-24 00:23:51
53,28,3.8214285714285716,1997-11-13 17:48:49
54,65,3.6923076923076925,1998-04-15 23:01:40
55,21,3.2857142857142856,1997-10-30 01:53:18
56,187,3.641711229946524,1998-04-22 15:12:21
57,106,3.5,1998-01-01 23:50:46
58,154,3.8376623376623376,1998-04-19 23:14:21
59,382,3.9345549738219896,1998-02-23 04:06:49
60,208,4.086538461538462,1998-03-07 16:07:20
61,21,2.9523809523809526,1998-04-11 21:47:17
62,232,3.3017241379310347,1997-11-12 23:18:47
63,93,3.118279569892473,1997-10-01 23:25:26
64,200,3.585,1998-03-12 22:14:40
65,80,3.9375,1997-11-11 03:20:49
66,38,3.473684210526316,1997-12-31 21:04:28
67,30,3.7666666666666666,1997-09-27 17:03:14
68,34,3.0294117647058822,1997-10-16 04:05:55
69,65,3.8461538461538463,1997-12-15 00:26:26
70,131,3.4656488549618323,1998-01-07 05:52:59
71,38,3.789473684210526,1998-01-17 06:03:10
72,137,3.8175182481751824,1997-11-20 14:58:01
73,66,3.727272727272727,1998-03-01 23:03:08
74,39,3.641025641025641,1998-02-24 15:19:02
75,79,3.278481012658228,1998-01-06 01:59:08
76,82,3.5609756097560976,1997-12-20 08:45:36
77,72,3.611111111111111,1998-01-14 04:48:12
78,21,3.380952380952381,1997-11-15 22:51:04
79,55,4.0,1998-03-30 15:33:36
80,29,3.7586206896551726,1998-02-13 20:29:23
81,58,3.293103448275862,1997-10-11 17:55:46
82,168,3.0714285714285716,1998-01-13 18:05:26
83,155,3.4193548387096775,1998-03-29 14:42:12
84,68,3.8529411764705883,1997-12-30 03:49:57
85,288,3.5381944444444446,1998-04-20 22:07:41
86,23,3.5217391304347827,1997-11-15 05:16:14
87,211,3.7914691943127963,1997-11-18 18:32:31
88,21,3.9523809523809526,1998-03-27 22:35:03
89,76,4.0394736842105265,1997-11-13 22:47:26
90,300,4.223333333333334,1998-03-31 23:11:39
91,98,3.8877551020408165,1998-04-01 14:06:00
